minbound,shape,unit
84369,11,3
447804,10,3
0,8,3

IX,IY,IZ,value
10,8,3,-1

10,8,4,-1

10,8,5,-1

10,8,6,-1

10,8,7,-1

10,9,0,-1

10,9,1,-1

10,9,2,-1

10,9,3,-1

10,9,4,-1

10,9,5,-1

10,9,6,-1

10,9,7,-1

